Rank,Player,Youtube,Initial Time (seconds),Duration (in seconds),Giphy,MP4,Youtube Equivalant
83 (WR37),Marquise Goodwin | WR37,https://www.youtube.com/watch?v=bqEapLPnOFI,,,,,yt bqEapLPnOFI  
84 (WR38),Randall Cobb | WR38,https://youtu.be/tPOhW772yA0,,,,,#N/A
85 (RB31),Duke Johnson | RB31,,,,,,#N/A
86 (RB32),Kerryon Johnson | RB32,,,,,,#N/A
87 (RB33),Chris Thompson | RB33,,,,,,#N/A
88 (WR39),Will Fuller | WR39,,,,,,#N/A
89 (QB9),Matthew Stafford | QB9,,,,,,#N/A
90 (RB34),Isaiah Crowell | RB34,,,,,,#N/A
91 (QB10),Andrew Luck | QB10,https://youtu.be/y1GJH5XtigQ,,,,,#N/A
92 (WR40),Julian Edelman | WR40,,,,,,#N/A
93 (RB35),Tarik Cohen | RB35,,,,,,#N/A
94 (RB36),Carlos Hyde | RB36,,,,,,#N/A
95 (TE9),Trey Burton | TE9,,,,,,#N/A
96 (WR41),Jordy Nelson | WR41,,,,,,#N/A
97 (WR42),Nelson Agholor | WR42,https://youtu.be/gIQfQTI0T_o?t=34s,34,,,,yt gIQfQTI0T_o 34 
98 (RB37),Jamaal Williams | RB37,https://youtu.be/bEcOodlmUb4?t=13s,13,,,,yt bEcOodlmUb4 13 
99 (TE10),Jordan Reed | TE10,https://youtu.be/rbFxZJm-ZE0?t=20s,20,,,,yt rbFxZJm-ZE0 20 
100 (RB38),Marlon Mack | RB38,https://youtu.be/BsiEZSm-TN0?t=16s,16,,,,yt BsiEZSm-TN0 16 
101 (QB11),Ben Roethlisberger | QB11,https://youtu.be/_UWKGQNVYJE?t=8s,8,,,,yt _UWKGQNVYJE 8 
102 (WR43),Sterling Shepard | WR43,https://youtu.be/SDJUfvyrTls?t=14s,14,,,,yt SDJUfvyrTls 14 
103 (WR44),Devante Parker | WR44,https://youtu.be/_mam-41AfMM?t=16s,16,,,,yt _mam-41AfMM 16 
104 (QB12),Philip Rivers | QB12,https://youtu.be/L0uz17sloqM,,,,,#N/A
105 (RB39),C.J. Anderson | RB39,https://youtu.be/abGRIdaAOgY?t=17s,17,,,,yt abGRIdaAOgY 17 
106 (WR45),Kenny Stills | WR45,https://youtu.be/rmUH1kPn4ag?t=10s,10,,,,yt rmUH1kPn4ag 10 
107 (WR46),Kelvin Benjamin | WR46,https://youtu.be/a4UgXZIkvJQ,,,,,#N/A
108 (QB13),Jimmy Garoppolo | QB13,https://youtu.be/6KKzFA5INe0,,,,,#N/A
109 (TE11),Jack Doyle | TE11,,,,,,#N/A
110 (QB14),Matt Ryan | QB14,,,,,,#N/A
111 (WR47),Marqise Lee | WR47,,,,,,#N/A
112 (TE12),George Kittle | TE12,,,,,,#N/A
113 (RB40),Chris Carson | RB40,,,,,,#N/A
114 (TE13),David Njoku | TE13,,,,,,#N/A
115 (QB15),Jared Goff | QB15,,,,,,#N/A
116 (WR48),Rishard Matthews | WR48,,,,,,#N/A
117 (QB16),Marcus Mariota | QB16,,,,,,#N/A
118 (QB17),Patrick Mahomes | QB17,,,,,,#N/A
119 (WR49),Allen Hurns | WR49,,,,,,#N/A
120 (RB41),Aaron Jones | RB41,,,,,,#N/A
121 (RB42),Ty Montgomery | RB42,https://youtu.be/zdw3Xj__eKA,,,,,#N/A
122 (RB43),Nick Chubb | RB43,https://youtu.be/QCD9c1-mVg8,,,,,#N/A
123 (QB18),Alex Smith | QB18,https://youtu.be/szObt1ZeUro,,25,,,#N/A
